imdb_id,title,original_title,year,runtime_minutes,genres,average_rating,num_votes,imdb_url
tt13495458,The Inspection,The Inspection,2022,95.0,Drama,6.7,6075,https://www.imdb.com/title/tt13495458
tt9581076,"So Long, My Son",Di jiu tian chang,2019,185.0,Drama,7.7,6074,https://www.imdb.com/title/tt9581076
tt6426028,Knife + Heart,Un couteau dans le coeur,2018,102.0,Drama,6.2,6073,https://www.imdb.com/title/tt6426028
tt4392770,Always Shine,Always Shine,2016,85.0,Drama,5.6,6069,https://www.imdb.com/title/tt4392770
tt13280054,Blood,Blood,2022,108.0,Drama,5.5,6061,https://www.imdb.com/title/tt13280054
tt2088950,The Show,This Is Your Death,2017,104.0,Drama,5.6,6053,https://www.imdb.com/title/tt2088950
tt2296697,Concussion,Concussion,2013,96.0,Drama,5.6,6050,https://www.imdb.com/title/tt2296697
tt8737614,Majili,Majili,2019,154.0,Drama,7.3,6045,https://www.imdb.com/title/tt8737614
tt1113810,M like Mother,Mim mesle madar,2006,113.0,Drama,7.4,6045,https://www.imdb.com/title/tt1113810
tt15048614,Blurr,Blurr,2022,127.0,Drama,5.8,6043,https://www.imdb.com/title/tt15048614
tt5149490,Gwen,Gwen,2018,84.0,Drama,5.7,6040,https://www.imdb.com/title/tt5149490
tt1437357,Faust,Faust,2011,140.0,Drama,6.5,6029,https://www.imdb.com/title/tt1437357
tt11388278,A Week Away,A Week Away,2021,94.0,Drama,5.8,6028,https://www.imdb.com/title/tt11388278
tt1890373,Combat Girls,Kriegerin,2011,107.0,Drama,6.7,6027,https://www.imdb.com/title/tt1890373
tt0445953,Disgrace,Disgrace,2008,119.0,Drama,6.5,6025,https://www.imdb.com/title/tt0445953
tt6999052,Mario,Mario,2018,124.0,Drama,7.4,6023,https://www.imdb.com/title/tt6999052
tt0210727,Himalaya,Himalaya - l'enfance d'un chef,1999,108.0,Drama,7.5,6017,https://www.imdb.com/title/tt0210727
tt1707391,4:44 Last Day on Earth,4:44 Last Day on Earth,2011,82.0,Drama,4.7,6016,https://www.imdb.com/title/tt1707391
tt1270286,To Save a Life,To Save a Life,2009,120.0,Drama,6.8,6010,https://www.imdb.com/title/tt1270286
tt13143988,Nail Polish,Nail Polish,2021,128.0,Drama,7.2,6010,https://www.imdb.com/title/tt13143988
tt1319694,Glorious 39,Glorious 39,2009,129.0,Drama,6.4,6007,https://www.imdb.com/title/tt1319694
tt9319826,Jungle Cry,Jungle Cry,2022,117.0,Drama,7.2,6007,https://www.imdb.com/title/tt9319826
tt11651780,Choked,Choked,2020,114.0,Drama,5.7,6005,https://www.imdb.com/title/tt11651780
